City,District,Username,Email,Password,Role,Status,Pincode,Created
Chennai,Chennai,chennai_chennai_admin,chennai_chennai_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600001,2025-10-21 18:32:46
Tondiarpet Fort St George,Chennai,tondiarpetfortstgeorge_chennai_admin,tondiarpetfortstgeorge_chennai_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600003,2025-10-21 18:32:46
Perambur Purasawalkam,Chennai,peramburpurasawalkam_chennai_admin,peramburpurasawalkam_chennai_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600007,2025-10-21 18:32:47
Egmore Nungambakka,Chennai,egmorenungambakka_chennai_admin,egmorenungambakka_chennai_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600008,2025-10-21 18:32:47
Egmore Nungambakkam,Chennai,egmorenungambakkam_chennai_admin,egmorenungambakkam_chennai_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600013,2025-10-21 18:32:47
Chennai City Corporation,Chennai,chennaicitycorporation_chennai_admin,chennaicitycorporation_chennai_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600015,2025-10-21 18:32:47
Saidapet,Kanchipuram,saidapet_kanchipuram_admin,saidapet_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600016,2025-10-21 18:32:48
Ambattur,Tiruvallur,ambattur_tiruvallur_admin,ambattur_tiruvallur_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600019,2025-10-21 18:32:48
Sriperumbudur,Kanchipuram,sriperumbudur_kanchipuram_admin,sriperumbudur_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600044,2025-10-21 18:32:48
Tambaram,Kanchipuram,tambaram_kanchipuram_admin,tambaram_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600045,2025-10-21 18:32:48
Chinglepet,Kanchipuram,chinglepet_kanchipuram_admin,chinglepet_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600048,2025-10-21 18:32:49
Ponneri,Tiruvallur,ponneri_tiruvallur_admin,ponneri_tiruvallur_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600051,2025-10-21 18:32:49
Poonamalee,Tiruvallur,poonamalee_tiruvallur_admin,poonamalee_tiruvallur_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600056,2025-10-21 18:32:50
Avadi,Tiruvallur,avadi_tiruvallur_admin,avadi_tiruvallur_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600062,2025-10-21 18:32:50
Poonamallee,Tiruvallur,poonamallee_tiruvallur_admin,poonamallee_tiruvallur_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600071,2025-10-21 18:32:50
Ambattur,Chennai,ambattur_chennai_admin,ambattur_chennai_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600101,2025-10-21 18:32:51
Chennai Corporation,Tiruvallur,chennaicorporation_tiruvallur_admin,chennaicorporation_tiruvallur_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600107,2025-10-21 18:32:51
Kancheepuram,Kanchipuram,kancheepuram_kanchipuram_admin,kancheepuram_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600115,2025-10-21 18:32:51
Chengalpattu,Kanchipuram,chengalpattu_kanchipuram_admin,chengalpattu_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600127,2025-10-21 18:32:51
Sholinganallur,Kanchipuram,sholinganallur_kanchipuram_admin,sholinganallur_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,600129,2025-10-21 18:32:52
Tiruvallur,Tiruvallur,tiruvallur_tiruvallur_admin,tiruvallur_tiruvallur_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,601103,2025-10-21 18:32:52
Gummidipoondi,Tiruvallur,gummidipoondi_tiruvallur_admin,gummidipoondi_tiruvallur_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,601201,2025-10-21 18:32:53
Gummidipundi,Tiruvallur,gummidipundi_tiruvallur_admin,gummidipundi_tiruvallur_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,601202,2025-10-21 18:32:53
Thiruvallur,Tiruvallur,thiruvallur_tiruvallur_admin,thiruvallur_tiruvallur_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,602001,2025-10-21 18:32:53
Tirukalikundram,Kanchipuram,tirukalikundram_kanchipuram_admin,tirukalikundram_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,603102,2025-10-21 18:32:54
Chingelpet,Kanchipuram,chingelpet_kanchipuram_admin,chingelpet_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,603112,2025-10-21 18:32:54
Madurantakam,Kanchipuram,madurantakam_kanchipuram_admin,madurantakam_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,603201,2025-10-21 18:32:54
Chengallpattu,Kanchipuram,chengallpattu_kanchipuram_admin,chengallpattu_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,603204,2025-10-21 18:32:54
Cheyur,Kanchipuram,cheyur_kanchipuram_admin,cheyur_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,603302,2025-10-21 18:32:55
Cheyyur,Kanchipuram,cheyyur_kanchipuram_admin,cheyyur_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,603312,2025-10-21 18:32:55
Uttiramerur,Kanchipuram,uttiramerur_kanchipuram_admin,uttiramerur_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,603314,2025-10-21 18:32:55
Kanchipuram,Kanchipuram,kanchipuram_kanchipuram_admin,kanchipuram_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,603402,2025-10-21 18:32:56
Uthiramerur,Kanchipuram,uthiramerur_kanchipuram_admin,uthiramerur_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,603403,2025-10-21 18:32:56
Maduranthakam,Kanchipuram,maduranthakam_kanchipuram_admin,maduranthakam_kanchipuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,603406,2025-10-21 18:32:56
Tindivanam,Villupuram,tindivanam_villupuram_admin,tindivanam_villupuram_admin@fixitfast.gov.in,SuperAdmin@123,admin,active,604001,2025-10-21 18:32:57
